Time,L_max,TAS
2016-09-02 00:00:00,72.60349580611076,-0.4110065499146075
2016-09-02 06:00:00,72.60344921774431,-0.5289196307122513
2016-09-02 12:00:00,72.60345251388665,-0.520577241237045
2016-09-02 18:00:00,72.60367106580868,0.0325679408683642
2016-09-03 00:00:00,72.60345539323211,-0.5132897461034951
2016-09-03 06:00:00,72.60361031156319,-0.12119834897253433
2016-09-03 12:00:00,72.60358061225591,-0.19636597311959625
2016-09-03 18:00:00,72.60346057744857,-0.5001687251009161
2016-09-04 00:00:00,72.60347083773046,-0.4742004085666233
2016-09-04 06:00:00,72.60352672268739,-0.33275807123164536
2016-09-04 12:00:00,72.60377850343151,0.3044877798380206
2016-09-04 18:00:00,72.60399750084119,0.8587604713299554
2016-09-05 00:00:00,72.6034955171437,-0.4117379126708334
2016-09-05 06:00:00,72.6035305422696,-0.3230908787662499
2016-09-05 12:00:00,72.60349734966604,-0.4070998802249724
2016-09-05 18:00:00,72.60369935502094,0.10416667730441566
2016-09-06 00:00:00,72.60353910143009,-0.3014280247189915
2016-09-06 06:00:00,72.60354295703985,-0.2916696481091183
2016-09-06 12:00:00,72.60345437096034,-0.5158770704416583
2016-09-06 18:00:00,72.60448856855139,2.101630977612695
2016-09-07 00:00:00,72.60486056194469,3.0431296904431138
2016-09-07 06:00:00,72.60359184278754,-0.16794199769127746
2016-09-07 12:00:00,72.60345573809549,-0.512416912244862
2016-09-07 18:00:00,72.60345285907417,-0.5197035870061865
2016-09-08 00:00:00,72.60370824943254,0.12667803699624824
2016-09-08 06:00:00,72.60351757105217,-0.35592045244697534
2016-09-08 12:00:00,72.603468898674,-0.47910807411752004
2016-09-08 18:00:00,72.60346954194425,-0.477479985748638
2016-09-09 00:00:00,72.60347052389214,-0.47499471936238946
2016-09-09 06:00:00,72.60363369400065,-0.06201844102374779
2016-09-09 12:00:00,72.60350428883976,-0.3895371405660803
2016-09-09 18:00:00,72.60348267381922,-0.44424379500053457
2016-09-10 00:00:00,72.60353174999015,-0.32003419181560605
2016-09-10 06:00:00,72.60350734303313,-0.3818071131532114
2016-09-10 12:00:00,72.60384224022488,0.4658027655168064
2016-09-10 18:00:00,72.60355285181679,-0.2666264083150144
2016-10-01 00:00:00,72.60345796580955,-0.5067786671560122
2016-10-01 06:00:00,72.6034598656897,-0.5019701551106129
2016-10-01 12:00:00,72.60352355298414,-0.3407804489998674
2016-10-01 18:00:00,72.60359260699589,-0.16600782038483375
2016-10-02 00:00:00,72.60348347121884,-0.4422256120673476
2016-10-02 06:00:00,72.60355858205895,-0.2521234205740848
2016-10-02 12:00:00,72.60348911355986,-0.42794509820332866
2016-10-02 18:00:00,72.60350286683772,-0.3931361644128739
2016-10-03 00:00:00,72.60439685711071,1.869513405360336
2016-10-03 06:00:00,72.60369069768535,0.08225534646885041
2016-10-03 12:00:00,72.60432103411752,1.6776087861316744
2016-10-03 18:00:00,72.60399929447522,0.8633000791783604
2016-10-04 00:00:00,72.60398467010724,0.8262864550787486
2016-10-04 06:00:00,72.60349117620771,-0.4227246283447156
2016-10-04 12:00:00,72.60371263454383,0.13777655837337988
2016-10-04 18:00:00,72.60344955085037,-0.5280765541125974
2016-10-05 00:00:00,72.60348752883898,-0.43195595617268406
2016-10-05 06:00:00,72.60348879595693,-0.42874893706374645
2016-10-05 12:00:00,72.60347536205583,-0.4627495425158608
2016-10-05 18:00:00,72.60347061589586,-0.4747618620526713
2016-10-06 00:00:00,72.60352271444013,-0.3429027665499504
2016-10-06 06:00:00,72.60366561023066,0.01876011584872631
2016-10-06 12:00:00,72.60371019720017,0.13160775012713627
